name,degree,addr,tel,review,type
스시데이,4.7,제주특별자치도 서귀포시 대정읍 최남단해안로 115,064-794-6008,9,"초밥,롤"
국민인생맛집,3,제주특별자치도 서귀포시 중앙로89번길 9,064-762-3727,3,일식
이꼬이,4.5,제주특별자치도 제주시 중앙로5길 18,070-8239-9408,6,일식
달콤한휴식,4.6,제주특별자치도 제주시 애월읍 천덕로 395,070-8848-0395,9,"돈까스,우동"
피쉬앤돈,4.5,제주특별자치도 제주시 곰방매길 5 1층,064-900-8434,18,일식
오레노카츠 제주화순점,4.6,제주특별자치도 서귀포시 안덕면 화순로 119,,37,"돈까스,우동"
곽지뽕끌락,5,제주특별자치도 제주시 애월읍 일주서로 6001 1층 104호,064-904-1577,13,"돈까스,우동"
그냥우동,5,제주특별자치도 제주시 애월읍 구엄동1길 57 1층,010-3873-2874,13,"돈까스,우동"
벵삭,3.4,제주특별자치도 제주시 구남동2길 14,064-900-1112,18,일식
스시이케,3.7,제주특별자치도 제주시 성신로1길 23 2층,064-743-5777,4,"초밥,롤"
세화복우동,4.4,제주특별자치도 제주시 구좌읍 구좌로 62,064-783-1025,34,"돈까스,우동"
킷사핫피엔도,4.3,제주특별자치도 제주시 전농로 48-1 1층,064-755-5170,29,일식
유메이우동,4.8,제주특별자치도 서귀포시 성산읍 성산중앙로 43-1 1층,064-784-7541,19,"돈까스,우동"
이돈갓 아라점,4.6,제주특별자치도 제주시 인다10길 36 2층,064-725-2077,5,"돈까스,우동"
소봉식당,0,제주특별자치도 서귀포시 안덕면 사계로 191 1층,070-8147-1418,2,일식
동대문꼬마김밥,4.8,제주특별자치도 제주시 서광로2길 33,064-727-7555,0,"돈까스,우동"
대손관 제주노형점,4.8,제주특별자치도 제주시 원노형6길 3-2 1층,,1,"돈까스,우동"
바삭돈가스 애월해안도로점,5,제주특별자치도 제주시 애월읍 애월해안로 724 1층,064-742-8484,17,"돈까스,우동"
고수참치 오마카세,4,제주특별자치도 제주시 용화로 49,064-745-1933,17,일식
금성우동,4.8,제주특별자치도 제주시 한림읍 한림로 371 2층 201호,,9,"돈까스,우동"
히비키아일랜드,5,제주특별자치도 제주시 신형로 25 1층(서귀포FC),064-746-5253,11,일식
귤밭사이로수제돈가스 동홍점,4,제주특별자치도 서귀포시 동홍로 146,,52,"돈까스,우동"
참다랑어 참치정육점,5,제주특별자치도 제주시 연삼로 223 1층,064-722-2773,1,참치회
이로리,4.2,제주특별자치도 제주시 구좌읍 평대5길 41,064-902-9692,20,일식
초밥충전,,제주특별자치도 서귀포시 안덕면 화순로 65,0507-1329-3840,8,"초밥,롤"
무모한초밥 제주일도점,5,제주특별자치도 제주시 연삼로 537-1 1층,,0,"초밥,롤"
카메카츠,5,제주특별자치도 제주시 연동14길 14 1층,,14,"돈까스,우동"
섬돈까스,4.3,제주특별자치도 서귀포시 이어도로 1052,064-738-4050,11,"돈까스,우동"
피그누들숩,4.9,제주특별자치도 제주시 구좌읍 해맞이해안로 820 1동 1층,070-4279-3344,20,일본식라면
은화수식당 이도점,1.7,제주특별자치도 제주시 중앙로 384 1층,010-8812-8774,8,"돈까스,우동"
서진돈까스,3.8,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 12,064-782-8029,15,"돈까스,우동"
히토리,5,제주특별자치도 서귀포시 홍중로 108 1층,010-3696-0058,5,일식
하츠돈카츠,,제주특별자치도 서귀포시 대정읍 신영로 100 1층,064-792-0746,4,"돈까스,우동"
토닥토닥 제주본점,3.8,제주특별자치도 제주시 관덕로15길 7 2층,064-702-9219,0,"돈까스,우동"
고래힘줄,3.4,제주특별자치도 제주시 조천읍 신촌북3길 3 1층,064-782-7913,14,참치회
단소바,4.8,제주특별자치도 제주시 한림읍 한림해안로 460 1층,,67,일식
오르메맛,5,제주특별자치도 서귀포시 중앙로62번길 23,064-733-4889,4,"초밥,롤"
하나비,5,제주특별자치도 서귀포시 남원읍 태위로 383 1층,070-7767-1171,4,"돈까스,우동"
아랑회초밥,4.4,제주특별자치도 서귀포시 중앙로71번길 8,064-763-1333,68,"초밥,롤"
돈까스마을,4.7,제주특별자치도 제주시 서광로29길 36 1층,064-727-1771,0,"돈까스,우동"
향천회초밥,4,제주특별자치도 제주시 신대로18길 56,064-742-6725,1,"초밥,롤"
스시걸,4.1,제주특별자치도 제주시 한림읍 한림로 491 3층,064-796-1444,0,"초밥,롤"
우동사발,4.4,제주특별자치도 제주시 삼무로11길 24,064-746-6657,1,일식
우쿠야 신연동점,5,제주특별자치도 제주시 연화로1길 9 1층,064-749-0131,0,"돈까스,우동"
응,2.7,제주특별자치도 제주시 구좌읍 문주란로5길 17,070-8839-9010,4,일본식라면
사부작10,4.8,제주특별자치도 서귀포시 대정읍 최남단해안로 20-1,,17,일식집
감산애안뜰,4.2,제주특별자치도 서귀포시 안덕면 감산서로 14-6 A동,064-794-5773,3,"돈까스,우동"
삼화가츠우동,3.7,제주특별자치도 제주시 건주로4길 34,064-758-5282,11,"돈까스,우동"
설록스시,4.5,제주특별자치도 제주시 한경면 녹차분재로 607,064-773-0122,5,"초밥,롤"
서프스시,4,제주특별자치도 서귀포시 천제연로178번길 10,,21,"초밥,롤"
스시쿄다이,5,제주특별자치도 서귀포시 동홍남로 53 스시쿄다이,064-733-7749,4,일식집
은화수식당 제주외도점,3,제주특별자치도 제주시 우정로 44 덕진상가동 6호,010-8221-6800,8,"돈까스,우동"
도도돈까스,4.3,제주특별자치도 제주시 애월읍 광령중길 133-1,064-747-2753,3,"돈까스,우동"
황금손가락 함덕점,3,제주특별자치도 제주시 조천읍 신북로 519 1층,064-784-2588,21,"초밥,롤"
이학일식,4.5,제주특별자치도 제주시 남성로 113,064-758-2226,2,일식집
공설통큰우동돈까스,4.6,제주특별자치도 제주시 공설로 35 1층 1호,064-758-9500,4,"돈까스,우동"
황금초밥,4.7,제주특별자치도 서귀포시 안덕면 사계남로216번길 33 1층,064-792-5511,38,"초밥,롤"
스시코쿠라,3.5,제주특별자치도 제주시 오남로6길 19 화안빌 B동 1층,064-799-4353,14,"초밥,롤"
에이밀,4.3,제주특별자치도 제주시 인다9길 33 1층,070-8899-8881,5,"초밥,롤"
