name,degree,addr,tel,review,type,r_review,,,,,,,,,,
제주오성식당,4.2,제주특별자치도 서귀포시 중문관광로 27 2층,064-739-3120,648,"해물,생선","성인4인, 초등학생 2명 6명 아침식사 하러 방문.서귀포에서 아침 9시 오픈하는 식당이 흔치않음.통갈치세트 4인 주문. 일단 키즈환영이라 좋았고, 키즈 룸이 있어 일부러 찾아간곳. 성게미역국에 갈치구이는 아이들이 먹기 좋았고 적당하게 매콤한 갈치 조림은 달큰한 무조림이 정말 맛있었던 음식. 제주에 간다면 꼭 재방문 의사 있음./0 아기 키우는 집이 가기 너무 좋은집이예요!!! 넓직넓직하고 적당히 소음도 있고 아기 식탁도 있어요!!!맛도 엄청나요!!! 너무 맛있게 잘먹었어요!!재방문했어뇸!! 은절미 정식 1 짱~~....23년 방문 정말 실망했습니다 마지막 방문이 될거 같네요물 한번 받기 어려워요 시간 간격 두고 세번이나 불렀어요오셔서 하는말 왜 계속 누르세요?? 아니 한번 누르고 너무 안가져다 주시니까 또 눌렀는데도 안가져다 주시고 나중엔 멀뚱멀뚱 서계시니 한번 더 누르죠ㅠㅠ10시에 사람 없는 시간 방문이였습니다ㅠ 이모님들 일하시기 싫으시면 하지마세요…사장님이 일 안해주면 해코지 한다고 하셨나여…??뭘 추가하고 싶어도 안가져다 주니 하…갈치구이 간이 안된 흐물흐물 구이… 갈치조림 국물이랑 먹었어요 재방문 맛집 중 유일하게 실망했습니다/0 2021년부터 매년 방문중인데 구성은 줄어들고 직원들도 불친절해짐. 불편하더라도 제주다움을 지킨다더니 아무리 호출벨을 눌러도 오지않는 직원과 5분 뒤에 물 가져다 주는 로봇까지 환장..그냥 고집돌우럭 2번 가겠음/0",,,,,,,,,,
늘봄흑돼지,,제주특별자치도 제주시 한라대학로 12,064-744-9001,591,삼겹살,,,,,,,,,,,
이춘옥의원조고등어쌈밥,4.1,제주특별자치도 제주시 애월읍 일주서로 7213 1층,064-799-9914,707,쌈밥,"고등어김치찜 2인포장주문원산지표기는 노르웨이산고등어+중국산김치36000원이라는가격에 어울리지않게 고등어는 2인분에 진짜로 단1마리들어감재주문의사, 지인추천의사 XXX/0 원조 고등어 쌈밥???중국산 묵은지에 노르웨이 고등어 인데??/0 고등어조림은 맛있음. 다만 고등어조림 단가가 비싼것에 비해 밥은 별도 주문인것도 놀라운데 별도로 돈받는 공기밥치고 퀄리티가 너무 낮음. 같이간 어르신은 화냄./0",,,,,,,,,,
은희네해장국 본점,3.8,제주특별자치도 제주시 고마로13길 8,064-726-5622,352,해장국,나같은경우는 서울에서 체인점을 먼저가보고 방문한케이스인데...보통 본점의 경우 뭔가 특별한게 있는경우가 많은데 여긴 편차가 좀적은느낌 ? 본점이 별로란건 아니고 체인점 퀄이 좋은편? 인듯. 맛있다. 그건확실. 위생은 조금.. 그래서 1점 깎음. 나 갔을때 위생교육 안받았다고 시청에서 나왔더라./0 불시 위생점점 나가봐야 될꺼 같습니다.이렇게 큰 벌레 나온건 처음 봅니다 어찌나 놀랬는지..입맛이 뚝 떨어졌습니다../0 학폭가해자네 집/0,,,,,,,,,,
맛나식당,3.7,제주특별자치도 서귀포시 성산읍 동류암로 41,064-782-4771,593,"해물,생선","진짜맛있어서 제주가면 꼭 또 가려구요.미리나 전화예약 불가하다하셔서근처로 숙소를 정하고6시쯤 예약할까하고 갔는데 불은 켜지고 문이 잠겨있어서 7시 10분에 다시 가니..9시20분에 식사가능..이미 많은 사람들 예약으로 빼곡히 적혀진 장부..문두드리면 된다고 하시더라구요.갈치2+고등어1 조림에 간단한 밑반찬들,공기밥은 소복히 담아주셨어요.양념 쏙쏙 베인 무와 갈치, 고등어의 환상조합이에요.과하게 맵지 않고 짜지도 않은 맛있게 매운 양념장에 밥은 예술입니다.가성비 최고의 맛이에요./0 맛있어요/0",,,,,,,,,,
노라바,2.5,제주특별자치도 제주시 애월읍 구엄길 100,064-772-1900,610,"해물,생선","외국인들 겁나 많음해물라면 매운맛 마싯음단무지만 잇고 김치는 없던데 김치 좀 줘요/0 The Spicy is SERIOUSLY spicy, but so worthwhile!/0 집에서 만들어 먹을 수 있는 맛..뷰는 좋음/0",,,,,,,,,,
바다를본돼지 제주서귀포올레시장점,4.2,제주특별자치도 서귀포시 칠십리로 123 2층,0507-1413-1058,487,"육류,고기","8월달에 갔는데 이제야 후기 남기네요..! 우선 오픈 시간 전부터 제 앞으로 웨이팅 5팀정도 있었어요! 순서대로 창가자리쪽으로 자리 안내해주세요! 뷰가 정말 예뻤고 고기도 너무 맛있었습니다! 저희는 점심 특선 먹었어요! (추가 반찬은 셀프바 이용할 수 있어요!) 다만 오픈시간에가서 그런지 실내가 너무 더웠고 식탁이 너무 작아서 앞접시, 고기 담겨오는 그릇, 나중에 나오는 돌솥밥 등등 음식이 점점 나오면서 그릇을 내려둘 공간이 없었어요.. 식탁이 좀 많이 좁았습니다..! 그리고 반려견 동반할 수 있는 음식점인건지 정확히는 모르겠으나 저희 가족은 강아지 알레르기가 있는데 처음엔 강아지 데려오신 다른 손님 바로 옆자리 좌석으로 안내받아서 직원분께 알러지있다고 말씀드려 다른 자리로 옮겼어요..! 혹시라도 알러지 있으신분들은 참고하세요!/0 맛있어요 깜깜하기전에 가야해요 뷰가 멋져요/0 바다뷰 최고👍 고기도 맛있고 고사리랑 미나리 같이구워먹으면 꿀맛/0",,,,,,,,,,
명진전복,3.5,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,064-782-9944,880,"굴,전복","몇년 전 까지만 해도 제주 동쪽 갈 때마다 무조건 들렀던 집이었는데오랜만에 오니 찐한 맛은 사라지고 그냥 평이한 전복솥밥, 전복버터구이맛.... 예전만 못하지만 나쁘진 않음/0 /0 돌솥밥이 뭐가 다를까 싶었는데...다르다!전복을 그리 선호하진 않지만도 한끼메뉴로는 무조건인 선택./0",,,,,,,,,,
돈사돈 본관,,제주특별자치도 제주시 우평로 19 1층,064-746-8989,631,"육류,고기",,,,,,,,,,,
춘심이네 본점,3.8,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16 1층,064-794-4010,937,"해물,생선",평소에 생선먹기 귀찮아하는 사람한테 천국짭쪼름하니 맛있음 밑반찬 맛있음 재방문의사 매우 있음/0 /0 개인적으로조림파인줄알았는데둘다먹고나서는깍두기/0,,,,,,,,,,
신설오름,4.1,제주특별자치도 제주시 고마로17길 2,064-758-0143,303,한식,"불친절 그잡채/0 아 진짜 맛있어요 깔끔하고 깊은맛 잊지몬해🤍/0 몸국,,, 고추가루,,,빼고먹는게 낳은듯,, 몸국 때매라도,,,제주도는 올만한곳,, ㄹㅇ,,/0",,,,,,,,,,
삼무국수,3,제주특별자치도 제주시 삼무로3길 46-1,064-711-5656,637,국수,제주올때마다 가는데 몇년째 맛이없는집입니다./0 /0 맛있는데요 😀😀/0,,,,,,,,,,
삼대국수회관 본점,3.4,제주특별자치도 제주시 삼성로 41,064-759-6645,510,국수,회전이 빨라서 먹기 편한정도/0,,,,,,,,,,
국수바다 본점,3.8,제주특별자치도 서귀포시 일주서로 580,064-739-9255,471,국수,8년전부터 매년 국수바다를 찾아왔었는데 2년전까진 괜찮았는데 옮기고 나서인지 맛이 달라졌어요... 이맛도 저맛도 아닌 몸국 메뉴도 없어지고..부정적인 후기에도 그래도 가보자 싶어 갔는데 밥은 꼬들하고 안남미보다 더 날리고 딱딱하고 국수면도 별로였어요..국물맛도 이맛도 저맛도 아닌 후추맛이랑 돼지국물 잡기위한 무언가를 넣으건지... 안타깝습니다...ㅡㅜ아침식사 고기국수 왕만두/0 내가먹어본 고기국수중 제일 맛없어요.주문 하고 금방나오는데 마치 남이시킨거 취소해서 나한테 온느낌으로 뜨겁지않고 국물이 미지근하고 자가제면이라서 기대한 국수는 불어서 별로고 육수에서 제주고기국수중 처음으로 고기냄새가 나서 다 못먹겠다고 생각했어요. 제주와서 움식 처음으로 남겼네요./0 /0,,,,,,,,,,
미스칠,4.3,제주특별자치도 제주시 일주서로 7831 1층,064-748-8007,285,한식,"진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈찢어진 여자 직원 주문받을때 째려보고 반찬 , 물 더 달라니까 개정색하면서 째려보고 계산하려고 카드 꺼내다가 물건 좀 떨어트렸다고 눈흘기면서 개째려보고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그럴거면 장사 때려치세요,,,, 그렇게 일하기 싫으면;;;;, 진짜 리뷰 좋으면 뭐함? 기본이 안되있고 국도 짜기만하지 맛도 없고ㅠ~.... 기분만 상하고감^^ 재방문의사 절대없음./0 리뷰가 광고인거 같아서 반신반의 하면서 갔는데 구성 좋고 진짜 맛있었음.. 부모님이 좋아하셔서 행복했다....../0 구성이 좋네요~ 부모님이 만족하셔서 기분좋네요/0",,,,,,,,,,
쌍둥이횟집,2.7,제주특별자치도 서귀포시 중정로62번길 14,064-762-0478,263,회,여명님과 식사 너무 즐거웠음여명님이 쏘심/0 제주도 갈때 마다 생각나죠^^맛있어요또 갈꺼에요^^리뷰에 있는 메뉴 다를 수 있어요저희는 4인 자특 모듬스페샬 200.0000원4인 특 모듬스페샬 160.000원맛있었어요즐거웠어요잘먹었어요/0,,,,,,,,,,
은희네해장국 노형점,3.3,제주특별자치도 제주시 원노형로 40 1층,064-711-5820,323,해장국,"주차 방식도 너어어어무 비효율적이고 맛도 그냥 그래요차라리 근처 다른 가게를 가시는 걸 추천..!/0 중국인들 이다 종업원 중국온기분들어요 찐따장화 ㅡ마른땅 ㄸ/0 표선점이랑 비교가 안되게 맛없음,소고기가 고무같이 딱딱함,어디 휴게소 국밥도 이런 맛은 아닌데..점바점이 너무 심해서 돈이 아까움게다가 잣같은 주차장때문에 밥먹다가 차빼고밥먹다 차빼고 생쇼해야함/0 no review in crawling",,,,,,,,,,
원담,4.3,제주특별자치도 제주시 동광로1길 13,064-900-0211,586,회,모듬은 안된대서 소자 주문했는데 양이 많네요와사비에 묵은지에 양파 싸먹으면 괜찮습니다무난하고 조금은 낚인느낌이 들어요가니 외국인분들이 대부분 직원으로 일하시고정신 없으시더라고요. 포장하러 갔는데신뢰도가 좀 떨어졌어요/0 /0 알러뷰원담/0,,,,,,,,,,
갈치왕 중문점,4.6,제주특별자치도 서귀포시 일주서로 1146,064-739-9333,509,"해물,생선",별점 5점만점!!!갈치조림 소 5만원 밥상차림입니다.고등어구이도 맛있고 밑반찬도맛있고가시없는 갈치조림도 맛있네요.약간의 단맛은 있습니다. 3명에서 먹어도 충분할 것같은데요?배불러요. 저는 밥 두공기 클리어 했습니다굳!!!!2번째리뷰)와 진짜 지렸다~~별점5점만점!부모님 모시고 오면 칭찬받을곳!물가상승으로 갈치조림 2인 소 55000원(공기밥 2공기포함 된 곳)조림 보통맛으로 먹었는데 저번보다 단맛이 사라지고 진짜 맛있다. 제주 올 때 마다 또 올거다~!!!(2명이서 공기밥4공기 먹음)테이블링 가능/0 역시 그나마 믿을만한건 카카오리뷰 ㅋ제주도에서 먹었던 식사중에 가장 만족스러움.조림은 약간 달달하니 떡볶이맛이 느껴져서 드실거면 매운맛으로 추천드림!그리고 추가로 시킨 갈치구이도 대존맛탱! 간장게장도 안비리고 대존맛탱!/0 부모님 모시고 간 여행인데 이집에서 유일하게 엄마 칭찬받았습니다. 일단 사장님 왕 친절하시고 기다리는동안 불편할까봐 홀에 남는 의자 가지고 나오셔서 앉으라고 응대해주신 점 정말 좋았습니다. 제주도는 다 크고나서 친구들이랑만 다녔지 나이드신 부모님하고 오랜만에 왔는데 여행 내내 어디 블로그 인스타 감성 맛집만 데리고 다닌다고 뒤지게 혼났다가 여기서 민심 복구에 성공했습니다ㅎ;/0,,,,,,,,,,
한림칼국수,4,제주특별자치도 제주시 한림읍 한림해안로 141 1층,070-8900-3339,229,칼국수,"보말전 너무 맛있음 ༘♡칼국수도 진하고 맛나고 웨이팅은 꽤 있음그래도 회전율이 빠르니까 괜찮아/0 초심 잃은 가게. 첨부터 물에 말아온 죽. 직원에게 ""죽에 물을 얼마나 부어 양을 불린거냐고 주방에 물어봐달라""니 얼굴이 빨개 죄송하다고만.ㅠㅠ/0 저만 알고 싶은 곳이지만,, 이미 소문이 자자한 곳이예요 ㅎㅎ 한번 말고 두번가세요~~보말칼국수/0",,,,,,,,,,
곰막식당,3.6,제주특별자치도 제주시 구좌읍 구좌해안로 64,064-727-5111,501,회,"블로거들에 속지 마세요. 맛없는 회덮밥, 비린 성게국수. 성의없는 밑반찬들. 그만올 때가 된 듯.ㅠ/0 비싸고 맛없고 비위생적이고…./0 여전히 전복죽은 맛잇어요 맛변햇다고 하는데 전 이년전에 처음 가본귯이라 ㅎㅎ다만 전날 마신 술 때문에 잘 못먹엇네요ㅠ 제주 여행에 다음날 해장엔 요기에요/0",,,,,,,,,,
김희선제주몸국,4,제주특별자치도 제주시 어영길 45-6 1층,064-745-0047,393,한식,"블로거들에 속지 마세요. 맛없는 회덮밥, 비린 성게국수. 성의없는 밑반찬들. 그만올 때가 된 듯.ㅠ/0 비싸고 맛없고 비위생적이고…./0 여전히 전복죽은 맛잇어요 맛변햇다고 하는데 전 이년전에 처음 가본귯이라 ㅎㅎ다만 전날 마신 술 때문에 잘 못먹엇네요ㅠ 제주 여행에 다음날 해장엔 요기에요/0",,,,,,,,,,
국수마당 본점,3.7,제주특별자치도 제주시 삼성로 65,064-727-6001,140,국수,수저통을 꽉 채우겠다고(?) 숟가락 젓가락을 양쪽 방향으로 넣어놔서 손으로 집을 때 입에 닿는 부분을 만지게 돼있습니다. 다른 테이블 수저통도 열어보니 다 이렇게 돼있네요.- 양념장과 김가루를 비치해놨는데 이를 덜기 위한 숟가락이나 집게를 따로 놓지 않아서 손님들이 먹던 숟가락 젓가락으로 덜 때가 있겠네요.위생과 거리가 멀고 맛은 평범합니다./0 맛집이었으나 타락하여 이제 아니게된 전형적인 수순을 밟고있다./0 직원 불친절함 머리짧은 아주머니현지인친구가 고기국수 정말 맛있다고 추천해서 온건데 맛도 그닥..김가루있길래 이거라도 넣으면 괜찮을까 싶어 뚜껑열었는데 쩐내 오짐제주 도착하자마자 처음으로 간곳인데 너무 별로네요/0,,,,,,,,,,
착한집,4.4,제주특별자치도 제주시 서광로 98,064-713-7136,711,"해물,생선",가족들이랑 제주도 여행와서 방문했는데 다들 만족해서 뿌듯하더라구요! 식사 맛있게 잘했습니다 🥰/0 제가 본 갈치중 가장 크네요 최고였습니다 친절하고 연예인도 많이왔다갔네요👏👏/0 제주도에서 먹었던 음식중에 제일 맛있네요 ㅎㅎ/0,,,,,,,,,,
네거리식당,3.1,제주특별자치도 서귀포시 서문로29번길 20,064-762-5513,365,"해물,생선",물항식당 보다 훨씬 조아요. 생갈치가 3덩어리 큰 걸로 7코스 많이 걷고 먹으니 너무 맛있어요/0 무난무난했던 식당. 맛있긴한데 굳이 이 돈 내고 또 올것 같진 않다. 웨이팅 있음/0,,,,,,,,,,
국수만찬,4.5,제주특별자치도 제주시 은남3길 1,064-749-2396,228,국수,자*매 국수보다 훨씬 맛있고요 너무 친절하세요/0 양 많아요 둘이서 하나 시키면 적당하게 배부를 정도비빔에 올라간 고기는 많이 퍽퍽했어요/0 제주도 첫날 필수코스 💕/0,,,,,,,,,,
국시트멍,4,제주특별자치도 제주시 진군길 31-3 1층,064-725-7004,259,국수,,,,,,,,,,,
바다속고등어쌈밥,,제주특별자치도 제주시 애월읍 일주서로 7089,064-745-6466,75,"해물,생선",,,,,,,,,,,
남춘식당,4.3,제주특별자치도 제주시 청귤로 12,064-702-2588,225,국수,"단골 12년차.음식 전체가 간이 좋고 깔끔하고 개운함.수제비, 고기국수, 김밥, 콩국수 등,,, 뭐하나 거를 타선이 없는 최강 라인업!!/0 제주도 가기 싫은 이유 백가지 있어도여기 콩국수 생각나서 다시 가고싶은맛 지인들이 콩국수 싫어하는데 먹어보더니시킨메뉴 중에서 콩국수가 젤 맛있다고 할정도였음육지에서 맛있다는 콩국 사서 먹어보고있는데성에안차서 다시 가고싶네요..남춘식당 집앞에 있으면 좋겠다ㅠ/0 평일에 줄서면 앞에 대부분 도민들. 개운한 맛. 김밥필수/0",,,,,,,,,,
도두해녀의집,,제주특별자치도 제주시 도두항길 16,064-743-4989,581,"굴,전복",,,,,,,,,,,
정가네밥상,3,제주특별자치도 제주시 아란서길 110,064-723-7500,5,한정식,"별이 한개일 이유는 전혀 없슴.깔끔하고 맛있음, 아주 쪼금 비싼거 빼고 만족.특히 가족끼리 좋음/0",,,,,,,,,,
뽈살집 제주본점,4.5,제주특별자치도 서귀포시 중정로91번길 41 1층,064-763-6860,450,"육류,고기",여기보다 맛난 돼지고기는 못먹어봄/0 잘 되는덴 그냥 이유가 있음 맛있고 서비스도 찰짐/0,,,,,,,,,,
골막식당,4,제주특별자치도 제주시 천수로 12,064-753-6949,131,한식,고기국수 원조 맛집/0 난 개인적으로 아주 만족함 제주도 매년 갈때마다 이곳을 들림 맛을 표현하자면 사리곰탕면 스타일에 후추를 뿌리고 간이 조금쎈 고기국수? 난 그래서 내 입맛에는 겁나 맛있음/0 /0,,,,,,,,,,
살아있는해물뚝배기 어마장장,4.3,제주특별자치도 제주시 성지로 62,064-722-2151,431,"굴,전복",간만에 먹은 해물뚝배기 완전 싱싱하고 몸보신하는 느낌이어서 아주 만족스러웠습니다!/0 신선한 해산물이 정말 가득하고요.특히 전복해산물뚝배기는 와우 국물까지 엄청 시원하고 맛있어요.먹을 수록 빠지는 그맛사이느메뉴에 돈까스 아이 시켜 줬는데 너무 맛있어서는 제가 다 먹어버렸다는요..ㅋㅋㅋ/0 해산물 해물 해초로만 시원한 맛을 내는 곳은 여기 뿐이듯 인공적인맛없구요 시원하고 바다향가득 해물탕 정말 좋아요/0,,,,,,,,,,
순옥이네 명가 본점,,제주특별자치도 제주시 도공로 8,064-743-4813,377,"해물,생선",,,,,,,,,,,
복자씨연탄구이,4.5,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,064-782-7330,1230,"육류,고기",제주가면 유일하게 다시 가고 싶은 곳.. 츄베릅/0 /0 맛은 뭐 그렇다치고 인력이 너무 없어요. 서빙 2 구워주시는 분 1 테이블은 12개인데… 최소 구워주시는 분은 한명 더 추가해야.. 그리고 유니폼이든 명찰이든 직원 표시가 있으면 좋겠어요/0,,,,,,,,,,
유리네식당,,제주특별자치도 제주시 연북로 146,064-748-0890,89,한식,,,,,,,,,,,
제주늘봄,,제주특별자치도 제주시 고사마루길 6,064-744-9000,30,갈비,1점도 아까워요. 밥에서 스티로품이 나왔네요/0 별 1개도 아까움.제주도 여행 마지막 저녁을 소고기를 먹기 위해 방문.자리에 앉아 주문을 하려고 메뉴판을 보고 있는데.물과 컵을 가져다 주시는 겁니다.그런데 컵이 너무 더러워 컵이 좀 더럽네요 다른걸로 가져다 주세요~다시 가져온 컵은 더 더러워 놀랬음. 그런데 일하시는 분들은 뭐가 문제인지 모르는것 같음.종이컵 달래니까 없다고만 하고 깨끗한 컵 가져다 줄 생각이 없음. 그 고깃집 기름기 막낀 컵.. 어떤느낌인지 아시겠죠고깃집 기본인 가위와 집게를 미리 가져다 주셨는데. 정말정말 놀랬다. 옆 테이블에서 막 쓰다 그냥 준거같은 느낌의 가위와 집게... 직원분께 보여주면서 다른거 가져다 달래니까.와... 귀찮게 하네...하는 표정그냥 나와서 건너편 흑돈가에서 또 먹음거기서만 두번째 먹음/0 소고기는 역시 늘봄/0,,,,,,,,,,
협재칼국수,3.2,제주특별자치도 제주시 한림읍 협재로 3 1층,064-796-8107,287,칼국수,"모든 매장이 친절하고 맛있다 이렇게 말하지만. 여기는 다릅니다. 한번 와보셨다면 이해하실텐데 직원분들이 엄청 친절하고, 음식도 빠르게 나오고 맛 또한 자부합니다! 정말정말 맛있었어요 ㅎㅎ/0 매장 입구부터 친절하게 맞이해 주셔서 기분 좋게 들어갔고, 한치물회 보말칼국수도 맛있었어요~~ 다음에 제주 여행에도 꼭 다시 방문할 거에요 ㅎㅎ/0 주차도 편하고 맛도 좋고 일단 국물맛이랑 면발이 제 맘에 쏙 들어서 다시 오고 싶은 곳으로 땅땅 도장찍어 놨네요ㅎㅎ 재료도 신선한 것 같아요 느긋하게 인나서 아침 먹고 놀러가기 딱 좋은 곳인 것 같아요 저녁에 숙소 들어가기 전에 문어한마리나 한치물회 포장해와도 좋겠어요 존맛!/0 no review in crawling",,,,,,,,,,
식당마요네즈,4.1,제주특별자치도 제주시 다랑곶3길 18 1층,010-7444-9142,426,한식,"음식 맛은 말할 것도 없고 직원 분들도 모두 친절해요!!!! 친절함과 맛있는 맛에 제주 올 때마다 행복해 지는 식당입니다 넘 맛있어요❤️👍👍/0 최악!맛은 개인차라서 말 안하겠지만햄벅스테이그 거의 반 정도 타서 탄냄새 나는데 원래 그렇단다. 모르고 간게 잘못이지만 고객의 돈 , 시간 아까운 생각하고 장사하시길.../0 노형 양식 1등이었는데 이젠 아닌 것 같아요. 돈까스 말고는 전부 평범해요. 최애였던 새우 오일 파스타 이 맛 진짜 아니에요 .. 사장님 ! 맛 체크가 절실히 필요합니다 ! 애정하던 집인데 아쉽네요 ㅠㅠ 그리고 리뷰들 보면 특정 직원분 말투가 너무 불친절해요. 마요 ! 하면 친절 ! 이었는데 ㅠㅠㅠㅠㅠ/0 no review in crawling",,,,,,,,,,
